iter	Logloss
0	0.690632789
1	0.6866335452
2	0.6826250183
3	0.680273664
4	0.6758542563
5	0.6720631269
6	0.6674467956
7	0.6639720959
8	0.6600806419
9	0.6574437502
10	0.6543610603
11	0.6513165568
12	0.6478524446
13	0.6436018432
14	0.640113823
15	0.6355119142
16	0.6326359386
17	0.6301152275
18	0.6285103631
19	0.6254148065
20	0.6226034823
21	0.6194119328
22	0.6159386547
23	0.6132414168
24	0.6100513602
25	0.6075651647
26	0.6049709069
27	0.6007526133
28	0.5990917276
29	0.5971399845
30	0.594838976
31	0.5921046704
32	0.5907266352
33	0.5868231552
34	0.5842888267
35	0.5824470401
36	0.5805177055
37	0.5769450875
38	0.5749153799
39	0.5718035834
40	0.5696290895
41	0.5670795202
42	0.5647598488
43	0.5625733433
44	0.5605698527
45	0.5584243612
46	0.556674182
47	0.555217679
48	0.5525267317
49	0.550444645
50	0.548151981
51	0.5456550089
52	0.5433803768
53	0.5416877177
54	0.5400428409
55	0.5388921809
56	0.5370643762
57	0.5361674962
58	0.5352596245
59	0.5342570437
60	0.533359245
61	0.5313873168
62	0.5300595868
63	0.5279377786
64	0.5266082188
65	0.5248708852
66	0.5241902979
67	0.521840575
68	0.5208478367
69	0.5197302639
70	0.518647538
71	0.5173883738
72	0.5155243273
73	0.5142592026
74	0.5127990805
75	0.5115894583
76	0.5099566867
77	0.5083818618
78	0.5067484539
79	0.5058483998
80	0.5038540557
81	0.5021600796
82	0.5009024169
83	0.4997520487
84	0.4987214378
85	0.4981079031
86	0.497442651
87	0.4961154661
88	0.4944838387
89	0.49327853
90	0.4921165295
91	0.491577204
92	0.4907211383
93	0.4892301741
94	0.4881927804
95	0.4866276173
96	0.485451927
97	0.4840238673
98	0.4834861729
99	0.4829270969
100	0.482020954
101	0.4808711303
102	0.4801476469
103	0.4790345355
104	0.4773604131
105	0.4760912162
106	0.474526735
107	0.4728656046
108	0.472113695
109	0.4706833317
110	0.4700119807
111	0.4689660569
112	0.4679801476
113	0.4673749975
114	0.4665631667
115	0.4659551833
116	0.464948467
117	0.4640448443
118	0.4631531091
119	0.4619551575
120	0.4608656574
121	0.4596724008
122	0.4590112149
123	0.4577958558
124	0.45667475
125	0.4557576737
126	0.4552891189
127	0.4533384373
128	0.4520584554
129	0.4512767228
130	0.4504313591
131	0.4491345507
132	0.4485064763
133	0.4477302773
134	0.4469616903
135	0.4457480718
136	0.4450209788
137	0.443982048
138	0.4433857765
139	0.4428666801
140	0.4419216895
141	0.440698825
142	0.4400750038
143	0.4392160987
144	0.4384744452
145	0.4371917097
146	0.4363451433
147	0.4357502063
148	0.4348629411
149	0.4344630555
150	0.4340364577
151	0.4332262092
152	0.4327352012
153	0.4318486857
154	0.4309866228
155	0.4304796886
156	0.4298034337
157	0.428532753
158	0.4278586675
159	0.4265021209
160	0.4254673186
161	0.4247685733
162	0.4236500289
163	0.4229938101
164	0.4224365425
165	0.421517833
166	0.420833169
167	0.4204363673
168	0.4198757282
169	0.4191077962
170	0.4182432545
171	0.4178981547
172	0.416715043
173	0.4162175388
174	0.4157417837
175	0.4148108899
176	0.4139337127
177	0.4128158921
178	0.4121092236
179	0.4115443403
180	0.4109341555
181	0.4095249601
182	0.4092429852
183	0.4087199304
184	0.4075606439
185	0.4069470593
186	0.406351216
187	0.4052773095
188	0.4048948744
189	0.4041081335
190	0.4033795994
191	0.4026473369
192	0.4016900759
193	0.4009226978
194	0.400426719
195	0.3994641739
196	0.398562957
197	0.3982009218
198	0.3973544897
199	0.3969142927
200	0.3960638357
201	0.3956105004
202	0.3950227485
203	0.3947217528
204	0.3943213993
205	0.3940116634
206	0.3934036933
207	0.3930413011
208	0.3924798765
209	0.3917457648
210	0.3910068167
211	0.3906122274
212	0.389905434
213	0.3890960826
214	0.3884906335
215	0.3880068984
216	0.3873916984
217	0.3869049676
218	0.3862942467
219	0.3852761031
220	0.3846633764
221	0.3840123647
222	0.3834940991
223	0.383117706
224	0.3824987569
225	0.3820672131
226	0.3812176932
227	0.3804711352
228	0.3793048833
229	0.3789806817
230	0.3780311687
231	0.3774303541
232	0.3768144578
233	0.3760113824
234	0.3754646731
235	0.3747052858
236	0.3741050867
237	0.3734828987
238	0.372979296
239	0.3727188937
240	0.3721682141
241	0.3719101448
242	0.3716533214
243	0.3711538397
244	0.3706047021
245	0.370083746
246	0.369694899
247	0.3691336429
248	0.3683521973
249	0.3678718856
250	0.3673498738
251	0.3666646644
252	0.3661123553
253	0.365615967
254	0.364953128
255	0.3648134242
256	0.3642218341
257	0.3635516971
258	0.3628645699
259	0.362561125
260	0.3622142259
261	0.3613266533
262	0.3608580053
263	0.3604394603
264	0.3599534367
265	0.3593461213
266	0.3589735949
267	0.3585584127
268	0.357910834
269	0.3572154753
270	0.356858271
271	0.3563368116
272	0.3557241819
273	0.3553170434
274	0.3546936558
275	0.354372425
276	0.3539340383
277	0.353506824
278	0.3530991451
279	0.3527690787
280	0.3522001191
281	0.3518877807
282	0.3513946854
283	0.3506715281
284	0.3504381906
285	0.350087775
286	0.349630786
287	0.3492738562
288	0.3487489303
289	0.348281575
290	0.3475717569
291	0.3469547869
292	0.3463751337
293	0.3460393789
294	0.3454799226
295	0.3450930226
296	0.3445837424
297	0.3439899285
298	0.3435878463
299	0.3430336436
300	0.3425500672
301	0.3419450121
302	0.3415263852
303	0.3406954845
304	0.340466719
305	0.3401857203
306	0.3397722971
307	0.3392675318
308	0.3389097381
309	0.3386680286
310	0.3383363513
311	0.3378545592
312	0.3374899253
313	0.3368548682
314	0.3363597355
315	0.335928273
316	0.3356363945
317	0.3350917167
318	0.3347665845
319	0.334486199
320	0.3341851736
321	0.3338731239
322	0.3332853214
323	0.3328699089
324	0.3321288241
325	0.331793799
326	0.3313328162
327	0.330886591
328	0.3305516599
329	0.3303969541
330	0.3298682322
331	0.329627463
332	0.3292308302
333	0.3287201755
334	0.328357233
335	0.328064327
336	0.3276450406
337	0.3270951537
338	0.3267227025
339	0.3261963892
340	0.3256706579
341	0.3254390744
342	0.324883729
343	0.3244468246
344	0.3242422278
345	0.3238931224
346	0.323595585
347	0.3231470826
348	0.3226882014
349	0.3221541742
350	0.3217359438
351	0.32144873
352	0.3212456434
353	0.3210284804
354	0.3206421307
355	0.3202318477
356	0.3199309098
357	0.3196282024
358	0.319245624
359	0.3187511862
360	0.3183710848
361	0.3178799074
362	0.3174811779
363	0.3168981908
364	0.3166235139
365	0.3160079279
366	0.3155585248
367	0.3149562058
368	0.314687235
369	0.3141963764
370	0.3138603816
371	0.3133912987
372	0.3130192631
373	0.3126082998
374	0.3122291573
375	0.3118450179
376	0.3115914571
377	0.3112211999
378	0.3107144029
379	0.3102703634
380	0.309995384
381	0.3097037223
382	0.3093856401
383	0.3088652454
384	0.3083612178
385	0.3080862849
386	0.3076373292
387	0.3074390662
388	0.3068516595
389	0.3065116767
390	0.3062851232
391	0.3059353079
392	0.3054788287
393	0.3050929025
394	0.3047806202
395	0.3044684748
396	0.3040362509
397	0.3037119063
398	0.3032463949
399	0.3028590856
400	0.3025800756
401	0.302021661
402	0.3016615105
403	0.3012341763
404	0.3006874344
405	0.3005178315
406	0.3002950969
407	0.2996777473
408	0.2993155331
409	0.2990427669
410	0.2986787472
411	0.2984397744
412	0.2981604642
413	0.2978739917
414	0.2975071399
415	0.2972478194
416	0.2970221049
417	0.2965742721
418	0.2960901726
419	0.2956225478
420	0.2954354133
421	0.294979617
422	0.2946954727
423	0.2945916026
424	0.2940683959
425	0.2939594228
426	0.2936176077
427	0.2930390471
428	0.2926803778
429	0.2923483803
430	0.2919531482
431	0.2917304521
432	0.2915891587
433	0.2913299109
434	0.2910095707
435	0.2907461224
436	0.2904917789
437	0.2900592352
438	0.2897720039
439	0.2894126846
440	0.2889688231
441	0.2887079681
442	0.2884222303
443	0.2881296686
444	0.2878085631
445	0.287510786
446	0.2872398931
447	0.2869145551
448	0.2865096433
449	0.2863170682
450	0.28598596
451	0.2857676348
452	0.2854856742
453	0.2850538568
454	0.2846710839
455	0.2842505712
456	0.2840417974
457	0.2836748226
458	0.2833853223
459	0.2830130575
460	0.282541401
461	0.2822516511
462	0.2819485414
463	0.2817765593
464	0.2812881122
465	0.2811184167
466	0.2809459648
467	0.2805221294
468	0.2801880782
469	0.2798938997
470	0.2794646252
471	0.279031647
472	0.2788794118
473	0.2783767251
474	0.2780324474
475	0.2774845187
476	0.2772863531
477	0.2768350177
478	0.2767384987
479	0.276425857
480	0.2762411952
481	0.275830387
482	0.2756281443
483	0.27549816
484	0.275217791
485	0.2749419369
486	0.2745610586
487	0.2742686085
488	0.2740949999
489	0.2738148751
490	0.273480481
491	0.2731332023
492	0.2727178306
493	0.2725922534
494	0.2722444678
495	0.2719050104
496	0.2714874731
497	0.2711643888
498	0.2710190798
499	0.2706630811
500	0.2704789262
501	0.2699943722
502	0.2698244104
503	0.2695872674
504	0.269370707
505	0.2692840012
506	0.2687519478
507	0.2685331722
508	0.2684184222
509	0.2682050727
510	0.2677684207
511	0.2674449892
512	0.2671767229
513	0.266784119
514	0.2665707199
515	0.2664207167
516	0.266081521
517	0.2658873667
518	0.2654467638
519	0.2652442177
520	0.2648786929
521	0.2647373896
522	0.2646234494
523	0.2643163268
524	0.2641193687
525	0.2639224017
526	0.2636584527
527	0.2633648722
528	0.2630572297
529	0.2628466615
530	0.2627006632
531	0.2623497595
532	0.2622330167
533	0.2618937378
534	0.2615544076
535	0.2611408202
536	0.2607503914
537	0.2606184725
538	0.2604212494
539	0.2602705526
540	0.2600502849
541	0.2597271618
542	0.2595671701
543	0.259087896
544	0.2588699318
545	0.2584251179
546	0.258224835
547	0.2579742733
548	0.2578140736
549	0.2574067215
550	0.2571034793
551	0.2568180517
552	0.2566314436
553	0.2563111673
554	0.2560468787
555	0.2556815015
556	0.2554767621
557	0.2552756573
558	0.2551178335
559	0.2546498348
560	0.2542480537
561	0.2540917208
562	0.253801361
563	0.2536274629
564	0.2532349476
565	0.2531190828
566	0.252915838
567	0.2525265254
568	0.2522702936
569	0.2520716988
570	0.2518808409
571	0.2515513587
572	0.2513233537
573	0.2510272597
574	0.2503948582
575	0.2501679734
576	0.2499044488
577	0.2496621402
578	0.2494296249
579	0.2492539351
580	0.2490480997
581	0.248825709
582	0.2486069662
583	0.248399301
584	0.2480706718
585	0.2478531264
586	0.2476774314
587	0.2473096058
588	0.2470277789
589	0.2469496234
590	0.2468116354
591	0.2464539377
592	0.2461652289
593	0.2459945211
594	0.2457175973
595	0.2452277403
596	0.2450431907
597	0.2447347449
598	0.244438595
599	0.2442251113
600	0.2439514416
601	0.2437312122
602	0.2435093877
603	0.2433215379
604	0.2430944045
605	0.2430110105
606	0.2427636884
607	0.2426895886
608	0.2423254407
609	0.2418910295
610	0.2414238018
611	0.2411914339
612	0.2410291963
613	0.240727491
614	0.2404429669
615	0.2400939167
616	0.2397842724
617	0.2396169592
618	0.2394056106
619	0.2391354285
620	0.2387055225
621	0.2385069496
622	0.2383153157
623	0.2381274474
624	0.2379939916
625	0.2376337844
626	0.2374006591
627	0.2371823583
628	0.2368400423
629	0.2364857737
630	0.2363054091
631	0.2361023857
632	0.235900577
633	0.2356947806
634	0.235403586
635	0.2352300878
636	0.2350243998
637	0.234858701
638	0.2347794357
639	0.2345847169
640	0.2344077467
641	0.2341390535
642	0.2338891322
643	0.2335544258
644	0.2333887871
645	0.2331933384
646	0.2329143853
647	0.2327593693
648	0.2324644719
649	0.2322665987
650	0.2320564442
651	0.2317167408
652	0.2315512484
653	0.2313030931
654	0.2311938428
655	0.2309719781
656	0.2308397125
657	0.2306190427
658	0.2302589126
659	0.2299495381
660	0.2298486296
661	0.229565894
662	0.2294725246
663	0.2293167891
664	0.2290856049
665	0.2287683712
666	0.2284122052
667	0.2282173656
668	0.2280816343
669	0.2275502507
670	0.2273715157
671	0.2270928989
672	0.2269634407
673	0.2267674094
674	0.2266263799
675	0.2264602376
676	0.2261109895
677	0.225804266
678	0.2257036685
679	0.2255484903
680	0.2253434245
681	0.225119261
682	0.2248932871
683	0.2247214797
684	0.2243235306
685	0.2242147945
686	0.223942251
687	0.2238492263
688	0.2237320774
689	0.223425709
690	0.2231899273
691	0.2230756654
692	0.2229392699
693	0.2226059429
694	0.2221554193
695	0.2220413936
696	0.2217018906
697	0.2215655342
698	0.2212073743
699	0.2210318986
700	0.2207747118
701	0.2205378623
702	0.2203157087
703	0.2201274701
704	0.2198624201
705	0.2195753947
706	0.2193718158
707	0.2191958426
708	0.2189947335
709	0.2188343442
710	0.2185587129
711	0.2183475808
712	0.2181979053
713	0.2179728131
714	0.2178030181
715	0.2176630266
716	0.2173362753
717	0.2170683314
718	0.2167275488
719	0.2164543558
720	0.2163547613
721	0.2162063602
722	0.2159274248
723	0.2158453574
724	0.2156641201
725	0.2155014588
726	0.21541532
727	0.2152625223
728	0.2151440758
729	0.2150046895
730	0.2148898715
731	0.2147810083
732	0.2144741509
733	0.2143369691
734	0.2142327993
735	0.2139406812
736	0.2137591905
737	0.2135298873
738	0.21339658
739	0.2132847593
740	0.2132113284
741	0.2129798841
742	0.2128095352
743	0.2127509729
744	0.2124797765
745	0.2120705009
746	0.2118204355
747	0.2117181006
748	0.2114643524
749	0.211299228
750	0.2111596362
751	0.2107704869
752	0.2104222161
753	0.2102957957
754	0.210024863
755	0.2099345109
756	0.2097255309
757	0.2096622171
758	0.2095515548
759	0.2095044141
760	0.2093477325
761	0.2092045509
762	0.2090305381
763	0.2089718063
764	0.2088704901
765	0.2086750009
766	0.2086290037
767	0.2083295651
768	0.208161332
769	0.2080330359
770	0.2077881153
771	0.2076886337
772	0.2075134801
773	0.2072057633
774	0.2069407501
775	0.206843403
776	0.2066259236
777	0.2065779923
778	0.2065062009
779	0.2062972103
780	0.20594029
781	0.2058563681
782	0.2056646107
783	0.2052396892
784	0.2052013281
785	0.2050619018
786	0.2047625903
787	0.2046324915
788	0.2044989653
789	0.2044563981
790	0.2040623251
791	0.2039083167
792	0.2038408616
793	0.2035923015
794	0.2032663708
795	0.2030053452
796	0.2029307794
797	0.2026923859
798	0.2025992947
799	0.2024487311
800	0.2023942007
801	0.2022180428
802	0.2017325625
803	0.2014243065
804	0.2013086214
805	0.2012274524
806	0.2010428783
807	0.2010042613
808	0.2009398415
809	0.2007375671
810	0.2006433871
811	0.2002581247
812	0.2001878246
813	0.200108555
814	0.2000552362
815	0.1999606128
816	0.1998402836
817	0.1997700458
818	0.199375328
819	0.1990564768
820	0.1986341632
821	0.1983858974
822	0.1982169996
823	0.1981489575
824	0.1980574999
825	0.1980140937
826	0.1979388015
827	0.1977897719
828	0.1976838885
829	0.1976215505
830	0.1972507666
831	0.1969820468
832	0.1967952883
833	0.196750511
834	0.1965297518
835	0.1963671241
836	0.1963192857
837	0.1961010496
838	0.1958957973
839	0.1957202528
840	0.1953657603
841	0.1950794326
842	0.1950329807
843	0.1947290255
844	0.1946454545
845	0.1945919684
846	0.1944435592
847	0.1941750007
848	0.1938696124
849	0.1938267425
850	0.1935372815
851	0.1934939912
852	0.1934534109
853	0.1933700757
854	0.1930866011
855	0.1930392576
856	0.1927705551
857	0.1927298966
858	0.1926463471
859	0.1924777789
860	0.1924402829
861	0.1922843335
862	0.1921307973
863	0.1920848349
864	0.1920420266
865	0.1917963397
866	0.1916310864
867	0.1912398632
868	0.1910721833
869	0.1910226896
870	0.1906324386
871	0.1905782095
872	0.1902739393
873	0.1901444476
874	0.1898534045
875	0.1898181739
876	0.1894938933
877	0.1892779006
878	0.1890320078
879	0.1888895952
880	0.1885540309
881	0.1882830979
882	0.1879744936
883	0.187932566
884	0.187725646
885	0.1873154764
886	0.1871765073
887	0.1871414266
888	0.1870145139
889	0.1867877481
890	0.1867486446
